VEHICLE TYPE  MODEL           YEAR  VIN NUMBER         CHASSIS(P)  CHASSIS(F)  CHASSIS(I)  CHASSIS(C)  ENGINE(P)  ENGINE(F)  ENGINE(I)  ENGINE(C)  TRANSM(P)  TRANSM(F)  TRANSM(I)  TRANSM(C)  BRAKES(P)  BRAKES(F)  BRAKES(I)  BRAKES(C)  TOTAL PASSED  TOTAL FAILED  TOTAL PROCES  TOTAL COMPLE  BUILD STATUS  WASTE
Truck         Tundra Crewmax  2023  9NSUUAF18N8108581  5           0           0           0           8          1          2          6         10          1          4          6          9          0          4          4          32            2            10            16             In-process    Yes
Van           Sienna          2023  2NYPPA6C4NX106454  2           0           1           0           6          1          4          2          7          0          2          4          8          0          0          1          23            1             7             7             In-process    Yes
Car           Corolla         2023  MNANNC8E2NW121895  3           0           0           0           5          0          2          2          5          0          0          4          2          1          1          1          15            1             3             7             In-process    Yes
Truck         Tundra Double   2023  5NWGGB818N0124956  3           0           0           2           8          2          0          7          7          4          7          3          9          0          4          4          27            6            11            16             In-process    Yes
Truck         Tundra Crewmax  2023  VTWHHC613NK115984  3           0           2           0          10          0          3          4          9          2          5          5          9          0          5          3          31            2            15            12             In-process    Yes
Van           Sienna          2023  JNYDDB7C7NC120742  2           0           1           0           7          0          2          4          7          1          3          2          6          0          0          3          22            1             6             9             In-process    Yes
SUV           Highlander      2023  8NYGGE1A7NW118087  2           0           1           0           5          0          0          4          9          0          4          4          8          1          1          3          24            1             6            11             In-process    Yes
Truck         Tundra Double   2023  1TNFFDD17N1104058  2           1           1           1          14          1          0          2         11          2          2          6          7          3          2          5          34            7             5            14             In-process    Yes
SUV           4Runner         2023  3TYJJB1R2NS110197  2           0           1           0           5          0          2          2          9          0          3          5          6          1          4          2          22            1            10             9             Completed     Yes
Van           Sienna          2023  9NMRRE8C4N0111415  2           0           0           1           6          2          0          5          6          1          4          2          4          1          3          1          18            4             7             9             In-process    Yes
SUV           Venza           2023  8TYPPB7V7NZ124564  2           0           0           1           7          1          0          1          9          0          1          7          6          2          5          0          24            3             6             9             In-process    Yes
Car           Prius           2023  3TCNNCFU5N6131015  1           1           0           1           6          0          3          0          5          0          1          3          3          0          1          1          15            1             5             5             In-process    Yes
SUV           Venza           2023  KNYLLEDV7NR121925  2           0           1           0           5          0          3          1          8          1          4          4          6          1          3          3          21            2            11             8             Completed     Yes
SUV           Sequoia         2023  2NYLLB7A7NS113483  2           0           1           0           5          0          0          4          9          2          2          4          8          2          2          1          24            4             5             9             In-process    Yes
Truck         Tacoma Double   2023  VNGFFA1N8N3131555  3           0           0           2           9          0          3          5         11          0          4          6          8          2          4          3          31            2            11            16             In-process    Yes
Truck         Tacoma Access   2023  SNSYYE2N6N5113434  3           0           0           2          11          0          2          4         11          2          0          8          8          1          2          6          33            3             4            20             In-process    Yes
Truck         Tacoma Double   2023   3NDDD0N2NM122171  3           0           2           0           8          1          5          3         11          0          5          5         10          1          4          2          32            2            16            10             In-process    Yes
SUV           Sequoia         2023  1TMAAC2A8NN131070  3           0           0           0           7          0          0          2          9          0          4          4         10          0          2          1          29            0             6             7             In-process     No
Truck         Tacoma Access   2023  6NGVVE1N3NX113214  2           1           1           1           8          1          5          3         10          1          3          7          9          0          0          8          29            3             9            19             Completed     Yes
SUV           Highlander      2023  1TMPPB8A3N2130561  2           0           0           1           5          0          2          2          9          0          5          3          7          0          2          4          23            0             9            10             Completed      No
Van           Sienna          2023  JTYLLD3C4N6115961  1           1           1           0           7          1          4          1          6          1          2          4          5          0          1          3          19            3             8             8             In-process    Yes
Truck         Tundra Crewmax  2023  9TLMMD811N9120821  3           0           1           1           8          1          3          5          9          2          5          5         11          0          0          6          31            3             9            17             In-process    Yes
Van           Sienna          2023  STMSSE0C3N6102611  2           0           0           1           6          1          5          1          6          1          3          3          4          1          0          4          18            3             8             9             Completed     Yes
SUV           Highlander      2023  MNYFFB1A9NA120862  2           0           1           0           5          0          3          1          9          0          4          4          7          0          2          4          23            0            10             9             Completed      No
SUV           4Runner         2023  3NMSSE0R4NW130053  2           0           0           1           6          0          3          0          8          1          4          4          5          2          4          2          21            3            11             7             In-process    Yes
SUV           Venza           2023  JNYRREDV2N3131269  2           0           1           0           3          2          3          1          9          0          6          2          6          1          3          3          20            3            13             6             Completed     Yes
Truck         Tundra Double   2023   VTYYA716NE109434  4           0           1           0           9          0          4          4         10          1          5          5          9          0          4          4          32            1            14            13             In-process    Yes
Car           Supra           2023  9NBHHB7A6N8124697  2           0           0           1           6          0          2          1          4          1          2          2          3          0          2          0          15            1             6             4             In-process    Yes
Truck         Tacoma Access   2023  MNKYYC6N8N2104875  3           0           1           1           9          0          5          3         10          1          5          5          8          1          6          2          30            2            17            11             Completed     Yes
Car           Supra           2023  8TCTTA6A3NS121951  2           0           1           0           5          0          1          3          5          0          1          3          3          0          0          2          15            0             3             8             Completed      No
Van           Sienna          2023  STYFFD0C7N0123706  2           0           0           1           7          1          5          0          8          1          2          2          5          0          3          1          22            2            10             4             In-process    Yes
Car           Camry           2023  8NAYYBFK1N2118121  2           1           0           0           7          0          2          0          4          1          3          1          4          0          0          1          17            2             5             2             In-process    Yes
Van           Sienna          2023  8TMAAB1C2N1110807  2           0           0           1           7          0          5          1          6          1          1          5          6          0          3          0          21            1             9             7             In-process    Yes
Car           Prius           2023  6NCJJADU4NZ112102  2           0           1           0           5          1          3          0          4          1          2          2          3          0          1          1          14            2             7             3             In-process    Yes
Van           Sienna          2023  KNYSSB3C4N9127223  2           0           1           0           7          0          4          2          6          1          2          4          6          0          0          3          21            1             7             9             In-process    Yes
Truck         Tacoma Access   2023  VNLTTBFN7N3123937  3           0           2           0          10          2          3          2         11          2          3          5          9          0          6          2          33            4            14             9             In-process    Yes
Car           Supra           2023  4TALLC1A7N0100690  2           0           0           1           6          1          1          1          5          0          0          4          4          0          1          0          17            1             2             6             In-process    Yes
Van           Sienna          2023  MTYJJEFC4NC112340  2           0           0           1           9          0          2          2          6          1          4          2          5          0          0          4          22            1             6             9             In-process    Yes
Car           Supra           2023  2NAAAE6A9N9125996  2           0           0           1           5          0          1          3          5          0          3          1          2          1          1          1          14            1             5             6             Completed     Yes
Truck         Tundra Double   2023  5THHHDF15N5128512  3           0           1           1           8          2          5          2         11          0          5          5          7          2          6          2          29            4            17            10             In-process    Yes
Car           Camry           2023  VTCMME6K5N6101924  2           0           1           0           4          1          0          4          4          1          3          1          3          0          1          1          13            2             5             6             Completed     Yes
SUV           Venza           2023  STMTTC0V9NS104816  2           0           0           1           5          0          1          3          8          1          0          8          7          0          5          1          22            1             6            13             Completed     Yes
Van           Sienna          2023  1NYLLB2C5NM112624  2           0           0           1           7          0          1          5          6          1          2          4          5          1          2          1          20            2             5            11             In-process    Yes
Van           Sienna          2023  KTMLLDFC8N5112643  2           0           0           1           7          0          1          5          7          1          3          2          5          0          3          1          21            1             7             9             In-process    Yes
Car           Camry           2023  VNARRC7K8N2114444  2           0           0           1           5          0          2          2          4          1          2          2          3          0          1          1          14            1             5             6             Completed     Yes
Van           Sienna          2023  9NMVVE2C9NC106569  2           0           1           0           6          1          5          1          6          1          3          3          5          1          2          1          19            3            11             5             In-process    Yes
SUV           Venza           2023  2TYJJADV4N4117362  2           0           0           1           4          1          3          1          9          0          2          6          5          2          3          3          20            3             8            11             Completed     Yes
SUV           Venza           2023  8TYVVA1V1NC116736  2           0           0           1           5          0          2          2          9          1          1          6          7          0          2          4          23            1             5            13             In-process    Yes
Truck         Tundra Crewmax  2023  9NSEECD14N4114598  3           0           0           2          10          1          3          3         10          1          5          5          7          2          5          3          30            4            13            13             In-process    Yes
SUV           Highlander      2023  3NYPPE7A4NX132682  2           0           0           1           5          0          0          4          9          1          5          2          7          0          2          4          23            1             7            11             In-process    Yes
SUV           Sequoia         2023  2TMGGDFA5NZ121411  2           0           1           0           5          0          2          2          7          2          5          3          7          1          1          4          21            3             9             9             In-process    Yes
Car           Camry           2023  6TBHHDDK2N8127338  2           0           1           0           5          0          3          1          3          2          3          1          5          0          0          0          15            2             7             2             In-process    Yes
Car           Prius           2023  KTBMMD0U2NU104873  2           0           0           1           5          0          2          2          5          0          1          3          3          0          1          1          15            0             4             7             Completed      No
SUV           Highlander      2023  MTYFFADA4N3130665  2           0           0           1           5          0          3          1          8          1          3          5          6          1          3          3          21            2             9            10             Completed     Yes
Truck         Tundra Double   2023  5NGBBD314NE129243  3           0           0           2           8          1          6          2         12          0          5          4          8          1          4          4          31            2            15            12             In-process    Yes
Car           Prius           2023  6NAMMCFU5NK121019  2           0           1           0           8          0          1          0          4          1          2          2          4          0          0          1          18            1             4             3             In-process    Yes
Car           Camry           2023  2NCUUD8K4N2121761  2           0           0           1           5          0          1          3          5          0          3          1          3          0          1          1          15            0             5             6             Completed      No
Van           Sienna          2023  9NMDDC0C7N1103942  2           0           0           1           7          0          3          3          7          0          3          3          3          2          0          4          19            2             6            11             Completed     Yes
Car           Supra           2023  JTBJJC2A3NR110308  2           0           0           1           5          0          2          2          5          0          2          2          3          0          2          0          15            0             6             5             Completed      No
Car           Supra           2023  1TADDE7A2NE121345  1           1           0           1           5          0          2          2          4          1          2          2          3          0          1          1          13            2             5             6             Completed     Yes
Car           Supra           2023  1NCFFC2A6NU128162  2           0           1           0           4          1          3          1          6          2          0          1          3          0          0          2          15            3             4             4             In-process    Yes
SUV           Sequoia         2023  2NMLLB7A1N0130577  1           1           1           0           5          0          2          2          7          2          4          4          8          0          4          1          21            3            11             7             In-process    Yes
Van           Sienna          2023  2TMFFB7C3N2108159  2           0           1           0          11          0          2          0          7          0          3          3          5          0          2          2          25            0             8             5             In-process     No
SUV           Highlander      2023  1NYDDC1A6NX116264  2           0           0           1           5          0          1          3          9          0          6          2          7          0          1          5          23            0             8            11             Completed      No
Truck         Tacoma Double   2023  3TKPPE6N5NW121076  3           0           0           2           9          1          2          5         10          1          4          6          8          1          5          3          30            3            11            16             In-process    Yes
Car           Corolla         2023  8TBYYBDE1NX108984  2           0           0           1           4          1          1          3          4          1          1          3          3          0          2          0          13            2             4             7             Completed     Yes
Car           Corolla         2023  9TBKKDFE3N9103073  1           1           0           1           4          1          3          1          4          1          3          1          2          1          2          0          11            4             8             3             Completed     Yes
Truck         Tacoma Access   2023  2NWVVC1N6NE113011  3           1           0           1           7          2          4          4         10          1          5          5          8          1          5          3          28            5            14            13             In-process    Yes
SUV           Venza           2023  3TYTTAFV4N0132226  2           0           0           1           6          0          1          2         10          0          6          1          9          1          2          1          27            1             9             5             In-process    Yes
Truck         Tundra Double   2023   VNRRD615NZ106932  3           0           0           2           8          1          2          6         10          1          5          5          9          0          5          3          30            2            12            16             Completed     Yes
Car           Prius           2023  KTARRBDU2N9126616  2           0           1           0           4          1          2          2          5          0          1          3          2          2          0          1          13            3             4             6             In-process    Yes
SUV           Sequoia         2023  1TYKKB2A9N9132023  2           0           1           0           5          0          2          2         10          0          2          5          7          1          2          3          24            1             7            10             In-process    Yes
Car           Corolla         2023  KTCAAA0E6NW116207  3           0           0           0           4          1          3          1          5          0          2          2          3          0          2          0          15            1             7             3             In-process    Yes
Van           Sienna          2023  9TYEEE8C9N2132442  2           0           0           1           7          1          2          3          6          1          4          2          5          0          1          3          20            2             7             9             In-process    Yes
Car           Corolla         2023  5TBKKD0E2NK110357  2           0           0           1           4          1          2          2          6          0          3          0          3          0          1          1          15            1             6             4             In-process    Yes
Car           Camry           2023  VTCMME1K4N1122254  2           0           1           0           5          0          2          2          4          1          2          2          2          1          1          1          13            2             6             5             Completed     Yes
Truck         Tundra Crewmax  2023  5TBGGA714NE128481  3           0           1           1           8          1          1          7         11          0          8          2         11          0          4          2          33            1            14            12             In-process    Yes
Van           Sienna          2023  MTYBBC7C1N2112862  2           0           1           0           6          1          2          4          7          0          2          4          5          0          2          2          20            1             7            10             Completed     Yes
SUV           4Runner         2023  1NMDDE1R5NX109632  2           0           0           1           5          0          2          2          9          0          3          5          6          1          3          3          22            1             8            11             Completed     Yes
Truck         Tundra Crewmax  2023  1TBAAE112NN115571  3           0           1           1           9          0          2          6         12          1          2          6         10          0          5          2          34            1            10            15             In-process    Yes
Truck         Tundra Double   2023   3TDDAD12N6118967  2           1           2           0           9          1          2          5         11          0          7          3          8          1          3          5          30            3            14            13             In-process    Yes
Truck         Tundra Crewmax  2023  3TKTTA718N4116205  4           0           1           0          11          0          3          3         10          1          7          3          9          0          7          1          34            1            18             7             In-process    Yes
Truck         Tacoma Double   2023  9TTBBB7N9NA124527  3           0           1           1           8          1          5          3         11          0          4          6          5          4          3          5          27            5            13            15             Completed     Yes
Car           Prius           2023  8NAVVB8U8N7115734  2           0           1           0           5          0          3          1          4          1          2          2          2          1          1          1          13            2             7             4             Completed     Yes
Truck         Tundra Double   2023  MTWPPAD16NW111665  3           0           0           2          10          1          3          3         13          1          0          7         10          1          3          3          36            3             6            15             In-process    Yes
Car           Camry           2023  STBEEAFK4N0129105  2           0           1           0           4          1          4          0          5          0          2          2          4          0          1          0          15            1             8             2             In-process    Yes
Van           Sienna          2023  3TYHHCDC7NN115574  2           0           0           1           6          1          4          2          7          0          5          1          3          2          1          3          18            3            10             7             Completed     Yes
Car           Camry           2023  8NAGGB1K4N3113893  2           0           0           1           5          1          3          0          5          0          0          4          3          1          0          1          15            2             3             6             In-process    Yes
Truck         Tundra Crewmax  2023  KTSPPCF17N7117144  3           0           1           1           9          1          6          1          9          2          6          4         10          0          6          1          31            3            19             7             In-process    Yes
Car           Camry           2023  SNCLLA0K7NR128409  2           0           1           0           4          1          3          1          5          0          2          2          3          0          1          1          14            1             7             4             Completed     Yes
Car           Corolla         2023  STCRRC3E5N1115075  1           1           0           1           5          0          1          3          5          0          2          2          3          0          0          2          14            1             3             8             Completed     Yes
Car           Prius           2023  9NARRD2U3N3104391  2           0           0           1           5          0          0          4          5          0          2          2          3          0          1          1          15            0             3             8             Completed      No
Van           Sienna          2023  8TYVVC6C5NR107680  2           0           0           1           7          0          3          3          8          1          2          2          3          2          1          3          20            3             6             9             In-process    Yes
Truck         Tundra Double   2023   9NKKA111NW108917  3           0           1           1          14          0          2          1         10          1          6          4         11          0          6          0          38            1            15             6             In-process    Yes
Van           Sienna          2023  2NYHHDFC9N6107575  2           0           0           1           7          0          2          4          9          0          1          3          5          0          1          3          23            0             4            11             In-process     No
Van           Sienna          2023  SNMVVB0C1N8119944  2           0           0           1           7          0          2          4          7          0          2          4          6          0          3          0          22            0             7             9             In-process     No
Truck         Tundra Double   2023  KTNGGB314NW110640  3           0           1           1           8          1          6          2          9          2          8          2          7          2          6          2          27            5            21             7             Completed     Yes
Van           Sienna          2023  2NYVVD1C8N9129932  1           1           1           0           8          0          2          3          6          1          4          2          5          0          2          2          20            2             9             7             In-process    Yes
Car           Camry           2023  6TCRRE3K8NM109115  2           0           0           1           4          1          3          1          6          1          1          1          4          0          0          1          16            2             4             4             In-process    Yes
SUV           4Runner         2023  KTYEEE2R3NM129549  2           0           0           1           5          0          2          2         10          4          0          3          6          2          3          2          23            6             5             8             In-process    Yes
SUV           4Runner         2023  JTYNNB3R6NX101841  2           0           1           0           5          0          2          2          8          1          6          2          7          0          3          3          22            1            12             7             Completed     Yes
Truck         Tundra Double   2023  MTKYYC317N0113029  3           0           1           1           9          0          4          4         10          1          8          2          8          1          4          4          30            2            17            11             Completed     Yes
Van           Sienna          2023  5TMRRD8C8N7104715  2           0           1           0           7          0          4          2          6          1          4          2          5          0          3          1          20            1            12             5             Completed     Yes
Car           Supra           2023  1NAFFBFA7NW103834  2           0           0           1           5          1          1          2          5          1          0          3          3          0          1          1          15            2             2             7             In-process    Yes
SUV           Sequoia         2023  4TYUUA6A1NC114252  2           0           0           1           5          0          2          2          7          2          6          2          9          0          0          4          23            2             8             9             In-process    Yes
Truck         Tacoma Access   2023  VNZSSA2N3NM102824  3           1           1           0           7          2          4          4         12          0          4          5          9          0          4          4          31            3            13            13             In-process    Yes
SUV           Venza           2023  6TYSSEFV2NA132400  3           0           0           0           5          0          1          3          9          0          3          5          5          2          4          2          22            2             8            10             In-process    Yes
SUV           4Runner         2023  1TMUUDDR5N9112689  2           0           0           1           6          0          1          2          8          1          2          6          7          0          4          2          23            1             7            11             In-process    Yes
Van           Sienna          2023  9TYSSAFC4N8106167  1           1           1           0          12          0          1          0          7          0          4          2          5          0          4          0          25            1            10             2             In-process    Yes
Car           Prius           2023  2NAEEB8U2N8131482  2           0           0           1           4          1          1          3          5          0          3          1          3          0          2          0          14            1             6             5             Completed     Yes
SUV           Sequoia         2023  JNYSSD7A6N5124512  2           0           0           1           5          0          1          3          8          1          4          4          6          1          4          2          21            2             9            10             Completed     Yes
Van           Sienna          2023  4TYBBB0C3NS100893  2           0           0           1           6          1          0          6          6          1          4          2          5          0          2          2          19            2             6            11             Completed     Yes
SUV           Sequoia         2023  5NMFFA8A8NR109914  2           0           0           1           4          1          2          2          8          1          1          7          7          0          3          3          21            2             6            13             Completed     Yes
Van           Sienna          2023  5NMRRC2C6NE102153  2           0           0           1           6          1          2          4          7          0          3          3          6          0          1          2          21            1             6            10             In-process    Yes
Van           Sienna          2023  KTMJJB0C5NU132457  2           0           0           1           7          0          3          3          6          1          3          3          6          0          2          1          21            1             8             8             In-process    Yes
Truck         Tacoma Double   2023   6NEEB3N2N1131312  5           0           0           0           7          2          5          3         14          1          4          2          9          1          3          4          35            4            12             9             In-process    Yes
SUV           4Runner         2023  8NMSSC2R1NS109747  2           0           0           1           4          1          1          3          9          0          4          4          7          0          3          3          22            1             8            11             Completed     Yes
Van           Sienna          2023  8NMJJC3C9N2118555  2           0           1           0           5          2          3          3          8          0          4          1          4          1          1          3          19            3             9             7             In-process    Yes
Truck         Tacoma Access   2023 STDEHHA8N5NX115001  3           0           1           1           9          0          1          7         11          1          4          5         10          0          5          2          33            1            11            15             In-process    Yes
SUV           4Runner         2023  6TMDDA2R4N8129634  2           0           0           1           4          1          1          3          9          0          5          3          6          1          2          4          21            2             8            11             Completed     Yes
SUV           Sequoia         2023  4TYDDDDA8N5127637  2           0           0           1           5          0          2          2          8          1          5          3          6          1          3          3          21            2            10             9             Completed     Yes
Van           Sienna          2023  1NMDDD7C1N9119014  2           0           1           0           9          0          4          0          7          0          3          3          4          1          3          1          22            1            11             4             In-process    Yes
Car           Camry           2023  4TBKKCFK1NZ123890  3           0           0           0           3          2          1          3          5          0          1          3          2          1          0          2          13            3             2             8             In-process    Yes
SUV           Highlander      2023  1TMLLD1A7N9114105  2           0           1           0           5          0          3          1          7          2          5          3          6          1          2          4          20            3            11             8             Completed     Yes
Van           Sienna          2023  9TYGGA6C7NA110248  2           0           0           1          10          0          1          2          6          1          2          4          5          0          2          2          23            1             5             9             In-process    Yes
SUV           Sequoia         2023  JNMPPBFA3N3113961  2           0           1           0           5          0          2          2          9          0          2          6          7          0          3          3          23            0             8            11             Completed      No
Van           Sienna          2023  1NYHHADC2N6130118  2           0           0           1           6          1          4          2          9          0          2          2          5          0          2          2          22            1             8             7             In-process    Yes
Car           Corolla         2023  2NAJJA2E7NK129931  2           0           0           1           5          0          3          1          5          0          1          3          3          0          0          2          15            0             4             7             Completed      No
SUV           4Runner         2023  KNMGGC6R9NR124481  1           1           1           0           6          0          2          1          8          1          5          3          8          0          2          3          23            2            10             7             In-process    Yes
SUV           Sequoia         2023  8TYSSA1A2N4101911  2           0           1           0           6          0          1          2         11          0          3          3          7          0          3          3          26            0             8             8             In-process     No
Truck         Tacoma Access   2023 KTDEMMB3N5N0106880  5           0           0           0           9          0          5          3         10          1          6          4          9          0          3          5          33            1            14            12             In-process    Yes
Truck         Tundra Crewmax  2023  STTAAE216N7128335  3           0           1           1          10          1          1          5          9          3          5          4          9          0          4          4          31            4            11            14             In-process    Yes
SUV           Highlander      2023  MNMMMC1A2NR101052  2           0           1           0           5          0          2          2          9          0          4          4          6          1          1          5          22            1             8            11             Completed     Yes
Car           Supra           2023  9TABBB6A8NN114395  1           1           1           0           5          0          1          3          5          0          2          2          3          0          0          2          14            1             4             7             Completed     Yes
Van           Sienna          2023  3TYRRA3C9NS129917  2           0           1           0           7          1          0          5          7          0          4          2          5          0          3          1          21            1             8             8             In-process    Yes
SUV           Venza           2023  1TYJJA0V7NC121306  2           0           1           0           8          0          0          1         10          0          5          2          9          0          1          3          29            0             7             6             In-process     No
Car           Prius           2023  4TAVVB6U5NX123952  2           0           1           0           5          0          3          1          3          2          2          2          3          0          0          2          13            2             6             5             Completed     Yes
Truck         Tacoma Double   2023  STKGGEDN5NA116996  4           0           1           0           9          0          1          7          9          2          7          3          8          1          3          5          30            3            12            15             In-process    Yes
Van           Sienna          2023  4TYGGDDC9N7104169  2           0           1           0           7          1          3          2          6          1          3          3          5          0          2          2          20            2             9             7             In-process    Yes
Van           Sienna          2023  MTYKKB6C6N7115589  2           0           0           1           8          1          2          2          7          0          1          5          5          0          3          1          22            1             6             9             In-process    Yes
Truck         Tacoma Double   2023  STZTTC0N3NC103018  3           1           1           0          10          0          4          3         11          0          7          3          9          0          7          1          33            1            19             7             In-process    Yes
Car           Corolla         2023  KNCBBB8E4NZ114363  2           0           0           1           6          0          2          1          4          1          2          2          3          0          0          2          15            1             4             6             In-process    Yes
Van           Sienna          2023  KNYDDB7C6NC123492  2           0           0           1           7          0          4          2          7          0          4          2          3          2          1          3          19            2             9             8             Completed     Yes
Truck         Tundra Double   2023  JNZLLDF17NN102421  3           0           1           1           8          1          3          5          9          2          5          5          9          0          6          2          29            3            15            13             Completed     Yes
Van           Sienna          2023  5NMHHCFC7NN108676  2           0           1           0           8          0          2          3          7          1          2          3          6          1          2          0          23            2             7             6             In-process    Yes
Truck         Tundra Crewmax  2023  1TZUUD214NK114638  3           0           0           2           8          1          4          4         10          1          5          5          7          2          6          2          28            4            15            13             Completed     Yes
Truck         Tundra Double   2023  JNTFFB717N5105417  4           0           1           0           8          2          2          5         11          3          3          4          9          1          3          4          32            6             9            13             In-process    Yes
Car           Corolla         2023  VNAVVEDE7NE101483  2           0           1           0           5          0          1          3          3          2          1          3          3          0          2          0          13            2             5             6             Completed     Yes
Van           Sienna          2023  SNYDDD7C5NU127327  1           1           1           0           7          0          0          6          6          1          3          3          4          1          1          3          18            3             5            12             Completed     Yes
Van           Sienna          2023  VTYMMDDC3NW110122  2           1           0           0           5          2          5          1          6          1          3          3          4          1          2          2          17            5            10             6             In-process    Yes
Van           Sienna          2023  STMFFE8C8NZ123132  2           0           0           1           4          3          1          5          8          0          1          4          5          0          2          2          19            3             4            12             In-process    Yes
Car           Prius           2023  2NBTTE3U7N7132233  2           0           0           1           5          1          2          1          5          0          2          2          5          0          0          0          17            1             4             4             In-process    Yes
Car           Camry           2023  8TBMMDFK5N8119224  2           0           1           0           5          1          1          2          5          0          1          3          2          1          1          1          14            2             4             6             In-process    Yes
Van           Sienna          2023  VNMFFC2C6N3100913  2           0           0           1           7          0          2          4          6          1          2          4          5          0          3          1          20            1             7            10             Completed     Yes
Car           Corolla         2023  KTAEEA2E3N2101644  2           0           1           0           4          1          2          2          5          0          2          2          3          0          1          1          14            1             6             5             Completed     Yes
SUV           4Runner         2023  JTMSSEFR3NX100802  2           0           0           1           5          0          1          3          9          0          4          4          8          0          3          2          24            0             8            10             In-process     No
Truck         Tacoma Access   2023  1TLMMA6N8NC122890  3           0           1           1           8          1          5          3         10          1          6          4          9          0          7          1          30            2            19             9             Completed     Yes
Van           Sienna          2023  6TMYYC8C9N4102972  2           0           0           1           8          0          2          3          7          0          1          5          4          1          3          1          21            1             6            10             In-process    Yes
Van           Sienna          2023  3NMTTA0C5N5103144  2           0           0           1           8          3          2          0          7          0          3          3          4          1          3          1          21            4             8             5             In-process    Yes
Truck         Tundra Crewmax  2023  9NBKKC114N8103567  3           0           0           2           9          1          2          5         10          1          5          5          8          2          2          5          30            4             9            17             In-process    Yes
Van           Sienna          2023  VTMFFA3C3NU115190  2           0           0           1           6          2          4          1          7          0          4          2          3          2          1          3          18            4             9             7             In-process    Yes
SUV           4Runner         2023  KNYHHB2R1NE126335  2           0           0           1           5          0          3          1          8          1          2          6          7          0          3          3          22            1             8            11             Completed     Yes
Van           Sienna          2023  6NMVVA0C3NW132276  2           0           1           0           5          2          2          4          7          1          3          2          4          1          1          3          18            4             7             9             In-process    Yes
Truck         Tacoma Access   2023  5NBMMB1N3N8112453  3           0           2           0          12          0          3          2         13          1          6          1          9          2          1          5          37            3            12             8             In-process    Yes
Van           Sienna          2023  3TYDDADC8N0120242  2           0           1           0           7          0          2          4          8          0          0          5          4          1          1          3          21            1             4            12             In-process    Yes
Van           Sienna          2023  1NMUUC0C8N5124719  2           1           0           0           5          2          3          3          7          0          4          2          5          0          1          3          19            3             8             8             In-process    Yes
Car           Corolla         2023  KTCHHA6E8N2114105  2           0           0           1           5          0          2          2          6          0          0          3          3          0          1          1          16            0             3             7             In-process     No
